File name	Species name	Lower	Upper
1_canids_ranges_3_subset_Microtomarctus_conferta	Microtomarctus conferta	10	15.9
1_canids_ranges_3_subset_Osbornodon_brachypus	Osbornodon brachypus	19	24
1_canids_ranges_3_subset_Osbornodon_fricki	Osbornodon fricki	14.8	17.5
1_canids_ranges_3_subset_Osbornodon_iamonensis	Osbornodon iamonensis	17.5	24
1_canids_ranges_3_subset_Osbornodon_renjiei	Osbornodon renjiei	30	33.7
1_canids_ranges_3_subset_Osbornodon_sesnoni	Osbornodon sesnoni	30	32
1_canids_ranges_3_subset_Otarocyon_cooki	Otarocyon cooki	19	28
1_canids_ranges_3_subset_Otarocyon_macdonaldi	Otarocyon macdonaldi	30	32
1_canids_ranges_3_subset_Oxetocyon_cuspidatus	Oxetocyon cuspidatus	24	30
1_canids_ranges_3_subset_Paracynarctus_kelloggi	Paracynarctus kelloggi	10	17.5
1_canids_ranges_3_subset_Paracynarctus_sinclari	Paracynarctus sinclari	12	14.8
1_canids_ranges_3_subset_Paraenhydrocyon_josephi	Paraenhydrocyon josephi	19	32
1_canids_ranges_3_subset_Paraenhydrocyon_robustus	Paraenhydrocyon robustus	19	24
1_canids_ranges_3_subset_Paraenhydrocyon_wallovianus	Paraenhydrocyon wallovianus	19	24
1_canids_ranges_3_subset_Paratomarctus_euthos	Paratomarctus euthos	9	14.8
1_canids_ranges_3_subset_Paratomarctus_temerarius	Paratomarctus temerarius	9	12
1_canids_ranges_3_subset_Philotrox_condoni	Philotrox condoni	28	30
1_canids_ranges_3_subset_Phlaocyon_achoros	Phlaocyon achoros	19	24
1_canids_ranges_3_subset_Phlaocyon_annectens	Phlaocyon annectens	17.5	24
1_canids_ranges_3_subset_Phlaocyon_latidens	Phlaocyon latidens	24	28
1_canids_ranges_3_subset_Phlaocyon_leucosteus	Phlaocyon leucosteus	14.8	19
1_canids_ranges_3_subset_Phlaocyon_mariae	Phlaocyon mariae	15.9	17.5
1_canids_ranges_3_subset_Phlaocyon_marshlandensis	Phlaocyon marshlandensis	15.9	17.5
1_canids_ranges_3_subset_Phlaocyon_minor	Phlaocyon minor	17.5	28
1_canids_ranges_3_subset_Phlaocyon_multicuspus	Phlaocyon multicuspus	17.5	19
1_canids_ranges_3_subset_Phlaocyon_yatkolai	Phlaocyon yatkolai	15.9	17.5
1_canids_ranges_3_subset_Prohesperocyon_wilsoni	Prohesperocyon wilsoni	33.7	37
1_canids_ranges_3_subset_Protepicyon_raki	Protepicyon raki	12	15.9
1_canids_ranges_3_subset_Protomarctus_opatus	Protomarctus opatus	14.8	17.5
1_canids_ranges_3_subset_Psalidocyon_marianae	Psalidocyon marianae	12	14.8
1_canids_ranges_3_subset_Rhizocyon_oreganensis	Rhizocyon oreganensis	24	28
1_canids_ranges_3_subset_Sunkahetanka_geringensis	Sunkahetanka geringensis	28	30
1_canids_ranges_3_subset_Tephrocyon_rurestris	Tephrocyon rurestris	12	14.8
1_canids_ranges_3_subset_Tomarctus_brevirostris	Tomarctus brevirostris	10	14.8
1_canids_ranges_3_subset_Tomarctus_hippophaga	Tomarctus hippophaga	12	14.8
1_canids_ranges_3_subset_Urocyon_citronus	Urocyon citronus	0.85	1.9
1_canids_ranges_3_subset_Urocyon_galushi	Urocyon galushi	0.85	4.9
1_canids_ranges_3_subset_Urocyon_minicephalus	Urocyon minicephalus	0.15	0.85
1_canids_ranges_3_subset_Urocyon_webbi	Urocyon webbi	4.9	9
1_canids_ranges_3_subset_Vulpes_stenognathus	Vulpes stenognathus	4.9	10
1_canids_ranges_3_subset_Xenocyon_texanus	Xenocyon texanus	0.15	0.85
